"","Depthm","T_degC","Salnty"
"497150",0,16.87,33.67
"341685",1,19.17,33.84
"605364",40,14.07,33.012
"275325",12,15.02,33.28
"610210",224,8.32,33.974
"854659",400,7.417,34.2101
"767798",169,9.12,33.82
"588447",178,8.58,33.987
"184458",72,10.03,33.51
"63806",287,10.07,34.66
"52122",30,12.05,33.37
"538389",527,6.55,34.389
"289439",400,6.6,34.226
"296694",10,20.4,33.88
"10935",133,9.24,33.13
"11463",22,13.96,32.7
"455229",300,9.8,34.53
"600124",10,16.29,33.466
"715816",47,16.08,33.254
"843469",57,13.5,33.3324
"786611",99,9.74,33.817
"288835",241,8.08,34
"530298",150,9.53,34.025
"757168",0,19.03,33.21
"792890",70,11.7,32.846
"179897",250,7.1,33.942
"279313",3,17.26,33.83
"624409",400,6.56,34.198
"179170",525,6.3,34.47
"246625",150,11.93,34.489
"839489",381,6.977,34.2177
"579205",60,12.49,33.546
"116274",20,16.04,33.556
"217547",75,13.18,33.141
"53864",600,5.09,34.185
"122310",48,12.4,34.11
"232001",343,8.39,34.42
"531787",146,8.53,34.033
"782506",70,12.71,33.368
"509841",178,9.36,34.07
"622203",500,5.75,34.301
"729179",10,13.14,33.423
"844395",139,8.924,33.9271
"184050",264,8.14,33.92
"44591",30,11.46,32.968
"270859",160,10.15,33.79
"147591",44,14.86,33.19
"392124",81,10.51,33.372
"30064",48,10.13,32.94
"120340",20,15.78,33.494
"509533",75,12.74,33.469
"465846",300,7.67,34.15
"7346",192,10.79,33.84
"794059",86,11.13,33.821
"333401",0,15.9,33.58
"241651",125,12.19,33.646
"324637",326,8.54,34.379
"692618",500,5.53,34.18
"508419",50,11.07,33.57
"149650",195,8.22,34.23
"391942",99,9.33,33.637
"294074",150,10.37,33.824
"771226",1,15.64,33.047
"603646",150,9.74,33.778
"37511",966,4.21,34.45
"511195",600,5.51,34.36
"248447",400,7.1,34.248
"634957",27,14.76,33.245
"227710",53,17.86,34.64
"405471",0,21.44,34.04
"468875",150,10.09,33.477
"512825",300,7.66,34.2
"526673",1,11.24,33.335
"782089",85,14.83,33.169
"672183",30,14.58,33.15
"490896",10,12.69,33.39
"803472",49,11.49,33.603
"315402",142,9.42,33.8
"318920",235,8.64,34.31
"137877",250,8.12,34.014
"329369",250,8.18,34.239
"768168",269,8.15,34.047
"133358",257,8.91,34.31
"178946",125,12.07,33.461
"200452",1238,3.52,34.58
"5198",46,14.13,33.35
"603758",147,10.64,33.629
"688398",41,10.18,33.65
"327847",20,19.28,33.692
"293008",31,16.48,33.56
"820446",51,10.65,33.649
"384857",20,14.73,33.495
"160526",49,14.27,33.65
"303153",567,7.08,34.52
"125882",304,7.45,34.31
"743431",65,13.21,33.081
"643019",212,8.84,33.872
"189233",0,19.37,34.38
"19716",1270,3.26,34.51
"288178",603,5.83,34.33
"605712",99,10.09,33.804
"2148",294,9.32,34.49
"241807",20,18.88,33.792
"42717",17,14.14,33.01
"528655",146,10.1,33.635
"780329",170,8.24,33.982
"731836",200,8.53,34.013
"178895",200,10.56,34.599
"423164",75,15.55,33.75
"23044",1000,3.97,34.548
"340555",10,15.72,33.29
"735576",377,6.87,34.163
"19118",800,4.89,34.414
"454262",2033,2.06,34.625
"835017",2,14.356,33.5145
"239344",250,10,34.356
"227952",184,11.83,34.7
"232030",313,9.48,34.49
"29464",9,12.24,33.32
"492934",100,13.33,33.86
"142293",75,9.8,33.563
"323078",176,8.62,34.18
"435677",10,15.48,33.424
